TIME 2024-02-05 16:29:51
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
      15        0.15          0k         0.0         0.0         0.0
      16        0.19          0k        80.0         0.0         0.0
      17        0.30          1k         0.0         0.0         0.0
      18        0.16          0k         0.0         0.0         0.0
      19        0.26          0k         0.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.33          0k         0.0         0.1         0.0
      22        0.20          0k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.29          2k         0.0         0.0         0.0
      25        0.15          1k        40.0         0.0         0.0
      26        0.32          1k        40.0         0.0         0.0
      27        0.20          0k        80.0         0.0         0.0
      28        0.21          0k         0.0         0.0         0.0
      29        0.20          1k        80.0         0.0         0.0
      30        0.07          1k        40.0         0.0         0.0
      31        0.37          1k         0.0         0.0         0.0
      32        0.29          0k         0.0         0.0         0.0
      33        1.00         11k      1560.0         1.0         0.9
      34        0.01         13k         0.0         0.0         0.0
      35        0.26          0k         0.0         0.0         0.0
      36        0.19          0k         0.0         0.0         0.0
      37        0.26          1k        40.0         0.0         0.0
      38        0.24          0k         0.0         0.0         0.0
      39        0.19          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:54
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02         83k        80.0        63.7         0.0
       1        1.04         39k       200.0         0.0         0.2
       2        1.00         15k        40.0         0.1         0.0
       3        1.03        178k       240.0       116.0         0.1
       4        3.15      20168k      1920.0        36.1         0.2
       5        0.18          2k        80.0         0.1         0.0
       6        0.18          0k       120.0         0.0         0.0
       7        0.10          0k        80.0         0.0         0.0
       8        0.17          0k         0.0         0.1         0.0
       9        0.19          0k       120.0         0.0         0.0
      10        1.48          6k      1440.0         0.1         0.4
      11        0.15          0k        40.0         0.0         0.0
      12        0.13          0k         0.0         0.0         0.0
      13        0.08          0k         0.0         0.0         0.0
      14        0.22         16k        40.0         0.0         0.0
      15        0.15          0k         0.0         0.0         0.0
      16        0.25          0k        80.0         0.0         0.0
      17        0.28          1k         0.0         0.0         0.0
      18        0.13          0k         0.0         0.0         0.0
      19        0.32          0k         0.0         0.0         0.0
      20        0.31          0k         0.0         0.0         0.0
      21        0.21          2k         0.0         0.0         0.1
      22        0.22          0k         0.0         0.0         0.0
      23        0.34          0k         0.0         0.0         0.0
      24        0.29          1k         0.0         0.0         0.0
      25        0.59         15k       480.0         1.1         1.2
      26        0.19          0k        40.0         0.0         0.0
      27        0.29          1k        80.0         0.0         0.0
      28        0.22          0k         0.0         0.0         0.0
      29        0.26          0k        40.0         0.0         0.0
      30        0.04          1k        40.0         0.0         0.0
      31        0.47          0k         0.0         0.0         0.0
      32        0.30          0k         0.0         0.0         0.0
      33        0.34          1k      1520.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.27          0k         0.0         0.0         0.0
      37        0.34          2k        40.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.14          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:55
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02         73k       120.0        48.1         0.0
       1        1.04         36k       200.0         0.1         0.0
       2        1.00         14k        40.0         0.7         0.0
       3        1.03        152k       240.0       100.6         0.0
       4        3.39      19341k      2120.0       169.5         0.0
       5        0.24          2k        80.0         0.0         0.0
       6        0.11          0k       120.0         0.0         0.0
       7        0.14          0k        80.0         0.0         0.0
       8        0.18          0k         0.0         0.1         0.0
       9        0.18          0k       120.0         0.0         0.0
      10        1.49          5k      1480.0         0.1         0.4
      11        0.19          0k        40.0         0.0         0.0
      12        0.11          0k         0.0         0.0         0.0
      13        0.10          0k         0.0         0.0         0.0
      14        0.23         16k        40.0         0.0         0.0
      15        0.12          0k         0.0         0.0         0.0
      16        0.14          0k        80.0         0.0         0.0
      17        0.28          1k         0.0         0.0         0.0
      18        0.13          0k         0.0         0.0         0.0
      19        0.33          0k         0.0         0.0         0.0
      20        0.36          0k         0.0         0.0         0.0
      21        0.31          0k         0.0         0.0         0.0
      22        0.19          0k         0.0         0.0         0.0
      23        0.37          0k         0.0         0.0         0.0
      24        0.22          1k         0.0         0.0         0.0
      25        0.35          5k       440.0         0.4         0.3
      26        0.35          1k        40.0         0.0         0.0
      27        0.23          1k        80.0         0.0         0.0
      28        0.21          0k         0.0         0.0         0.0
      29        0.21          0k        40.0         0.0         0.0
      30        0.04          1k         0.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.29          0k      1360.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.33          0k         0.0         0.0         0.0
      37        0.49          6k       320.0         0.2         0.2
      38        0.25          0k         0.0         0.0         0.0
      39        0.14          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:56
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         75k       240.0        54.7         0.0
       1        1.05         30k       240.0         0.1         0.2
       2        0.99         16k       160.0         0.1         0.0
       3        1.02        149k       200.0       100.9         0.0
       4        3.12      18426k      2200.0         4.3         0.0
       5        0.20          2k        80.0         0.0         0.0
       6        0.18          0k       120.0         0.0         0.0
       7        0.10          0k        80.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.18          0k       120.0         0.0         0.0
      10        1.48          4k      1600.0         0.0         0.4
      11        0.15          0k        40.0         0.0         0.0
      12        0.13          0k         0.0         0.0         0.0
      13        0.01          2k         0.0         0.0         0.0
      14        0.22         16k        40.0         0.0         0.0
      15        0.14          0k         0.0         0.0         0.0
      16        0.11          0k        80.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.15          0k         0.0         0.0         0.0
      19        0.44          0k         0.0         0.0         0.0
      20        0.35          0k         0.0         0.0         0.0
      21        0.32          0k         0.0         0.0         0.0
      22        0.25          1k         0.0         0.0         0.1
      23        0.35          0k         0.0         0.0         0.0
      24        0.27          0k         0.0         0.0         0.0
      25        0.67         14k      1000.0         1.3         1.1
      26        0.18          0k        40.0         0.0         0.0
      27        0.31          1k        80.0         0.0         0.0
      28        0.20          0k         0.0         0.0         0.0
      29        0.18          0k        40.0         0.0         0.0
      30        0.06          0k         0.0         0.0         0.0
      31        0.28          0k         0.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.54          7k      1760.0         0.5         0.0
      34        0.01         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.36          0k         0.0         0.0         0.0
      37        0.06          1k       360.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.12          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:57
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         69k       280.0        38.1         0.0
       1        1.05         29k       240.0         0.1         0.0
       2        1.00         16k        80.0         0.1         0.0
       3        1.03        122k       240.0        77.9         0.0
       4        3.29      21357k      1960.0       113.6         0.3
       5        0.21          3k        40.0         0.1         0.0
       6        0.13          1k        80.0         0.0         0.0
       7        0.17          1k        80.0         0.0         0.0
       8        0.17          1k         0.0         0.0         0.0
       9        0.18          0k       120.0         0.0         0.0
      10        1.49          4k      1320.0         0.1         0.4
      11        0.16          0k         0.0         0.0         0.0
      12        0.13          0k         0.0         0.0         0.0
      13        0.26          2k       160.0         0.2         0.0
      14        0.23         17k        40.0         0.0         0.2
      15        1.85          8k       200.0         0.0         0.2
      16        0.15          0k        40.0         0.0         0.0
      17        0.79          5k       480.0         0.5         0.0
      18        1.02          8k       440.0         0.5         0.0
      19        0.34          1k         0.0         0.0         0.0
      20        0.23          3k        80.0         0.1         0.1
      21        0.31          0k         0.0         0.1         0.0
      22        0.21          0k         0.0         0.0         0.0
      23        0.32          0k         0.0         0.0         0.0
      24        0.19          1k         0.0         0.0         0.1
      25        0.33          7k       640.0         0.4         0.4
      26        0.32          3k        40.0         0.0         0.1
      27        0.25          1k        80.0         0.0         0.0
      28        0.19          1k         0.0         0.0         0.0
      29        0.19          0k        40.0         0.0         0.0
      30        1.08          5k       280.0         0.3         0.0
      31        0.21          0k         0.0         0.0         0.0
      32        0.31          1k         0.0         0.0         0.0
      33        0.31          1k      1320.0         0.0         0.0
      34        0.01         12k         0.0         0.0         0.0
      35        0.17          1k         0.0         0.0         0.0
      36        0.33          0k         0.0         0.0         0.0
      37        0.10          1k       320.0         0.0         0.0
      38        0.88          7k       280.0         0.5         0.0
      39        0.15          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:58
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02         47k       160.0         4.1         0.1
       1        1.04         36k       240.0         0.1         0.1
       2        0.99         16k        80.0         0.2         0.0
       3        1.02        114k       240.0        69.6         0.0
       4        3.32      19172k      2360.0       123.6         0.0
       5        0.26          1k        40.0         0.1         0.0
       6        0.17          0k        80.0         0.0         0.0
       7        0.11          0k        80.0         0.0         0.0
       8        0.21          0k         0.0         0.1         0.0
       9        0.07          1k       120.0         0.0         0.0
      10        1.47          4k      1520.0         0.2         0.3
      11        0.16          0k        40.0         0.0         0.0
      12        0.11          0k         0.0         0.0         0.0
      13        0.07          0k       160.0         0.0         0.0
      14        0.22         16k        40.0         0.0         0.0
      15        0.12          0k       120.0         0.0         0.0
      16        0.14          0k        80.0         0.0         0.0
      17        0.31          1k       280.0         0.2         0.0
      18        0.11          0k       400.0         0.0         0.0
      19        0.39          0k         0.0         0.0         0.0
      20        0.36          0k        80.0         0.0         0.0
      21        0.33          0k         0.0         0.0         0.0
      22        0.23          1k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.21          1k         0.0         0.0         0.0
      25        0.23          1k       560.0         0.0         0.0
      26        0.21          0k        40.0         0.0         0.0
      27        0.33          1k        80.0         0.0         0.0
      28        0.20          0k         0.0         0.0         0.0
      29        0.38          4k        80.0         0.0         0.0
      30        0.05          0k       240.0         0.0         0.0
      31        0.18          0k         0.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.93          6k      2760.0         2.0         0.5
      34        0.01         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.30          0k         0.0         0.0         0.0
      37        0.06          1k       280.0         0.0         0.0
      38        0.27          0k       240.0         0.0         0.0
      39        0.16          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:59
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         63k       200.0        29.4         0.0
       1        1.05         36k       280.0         0.0         0.0
       2        1.00         15k        80.0         0.1         0.0
       3        1.03        121k       160.0        73.6         0.1
       4        3.08      19938k      2160.0        31.8         0.2
       5        0.26          2k        40.0         0.3         0.0
       6        0.12          0k        80.0         0.0         0.0
       7        0.13          0k        80.0         0.0         0.0
       8        0.16          0k         0.0         0.1         0.0
       9        0.10          0k       120.0         0.0         0.0
      10        1.49          4k      1760.0         0.1         0.4
      11        0.18          0k        40.0         0.0         0.0
      12        0.12          0k         0.0         0.0         0.0
      13        0.08          0k       160.0         0.0         0.0
      14        0.23         16k        40.0         0.0         0.0
      15        0.19          0k       120.0         0.0         0.0
      16        0.14          0k        40.0         0.0         0.0
      17        0.32          0k       360.0         0.1         0.0
      18        0.31          2k       400.0         0.0         0.0
      19        0.33          1k         0.0         0.0         0.0
      20        0.32          0k        80.0         0.0         0.0
      21        0.24          2k         0.0         0.0         0.1
      22        0.19          0k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.22          0k         0.0         0.0         0.0
      25        0.53          5k       680.0         0.5         0.4
      26        0.33          1k        40.0         0.0         0.0
      27        0.23          1k        80.0         0.0         0.0
      28        0.18          0k         0.0         0.0         0.0
      29        0.37          2k        40.0         0.0         0.0
      30        0.07          0k       240.0         0.0         0.0
      31        0.18          0k         0.0         0.0         0.0
      32        0.37          0k         0.0         0.0         0.0
      33        0.67          1k      2800.0         0.1         0.3
      34        0.00         12k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.34          0k         0.0         0.0         0.0
      37        0.07          1k       200.0         0.0         0.0
      38        0.16          0k       240.0         0.0         0.0
      39        0.27          2k       160.0         0.2         0.0
TIME 2024-02-05 16:30:00
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.04         49k       280.0        18.4         0.0
       1        1.05         38k       400.0         0.2         0.1
       2        1.00         12k       160.0         0.1         0.0
       3        1.03        167k       160.0       113.9         0.0
       4        3.40      19902k      1920.0       151.6         0.1
       5        0.25          2k        80.0         0.1         0.0
       6        0.13          0k        80.0         0.0         0.0
       7        0.11          0k        80.0         0.0         0.0
       8        0.17          0k         0.0         0.1         0.0
       9        0.20          0k       120.0         0.0         0.0
      10        1.48          4k      1760.0         0.0         0.2
      11        0.18          0k        40.0         0.0         0.0
      12        0.12          0k         0.0         0.0         0.0
      13        0.07          0k       160.0         0.0         0.0
      14        0.22         16k        40.0         0.0         0.0
      15        0.13          0k       120.0         0.0         0.0
      16        0.11          0k        40.0         0.0         0.0
      17        0.32          0k       360.0         0.0         0.0
      18        0.13          0k       400.0         0.0         0.0
      19        0.40          0k         0.0         0.0         0.0
      20        0.37          0k        80.0         0.0         0.0
      21        0.30          0k         0.0         0.0         0.0
      22        0.22          1k         0.0         0.0         0.0
      23        0.37          0k         0.0         0.0         0.0
      24        0.20          1k         0.0         0.0         0.0
      25        0.34          4k       640.0         0.3         0.5
      26        0.28          0k        40.0         0.0         0.0
      27        0.32          1k        80.0         0.0         0.0
      28        0.20          0k         0.0         0.0         0.0
      29        0.24          0k        40.0         0.0         0.0
      30        0.05          1k       240.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.31          1k      2800.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.31          0k         0.0         0.0         0.0
      36        0.33          0k         0.0         0.0         0.0
      37        0.06          1k       240.0         0.0         0.0
      38        0.28          0k       240.0         0.0         0.0
      39        0.11          0k       160.0         0.0         0.0
TIME 2024-02-05 16:30:01
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         47k       360.0         4.3         0.0
       1        1.05         35k       440.0         0.0         0.0
       2        1.00         12k        80.0         0.1         0.0
       3        1.03        157k       280.0       102.6         0.0
       4        3.20      18946k      2280.0        35.8         0.0
       5        0.24          2k        80.0         0.3         0.0
       6        0.14          1k        80.0         0.0         0.0
       7        0.17          1k        80.0         0.0         0.0
       8        0.17          1k         0.0         0.1         0.0
       9        0.17          0k       120.0         0.0         0.0
      10        1.48          4k      1720.0         0.0         0.2
      11        0.18          0k         0.0         0.0         0.0
      12        0.15          0k         0.0         0.0         0.0
      13        0.14          0k       160.0         0.0         0.0
      14        0.24         17k        40.0         0.0         0.1
      15        0.16          0k       120.0         0.0         0.0
      16        0.17          0k        80.0         0.0         0.0
      17        0.30          0k       360.0         0.0         0.0
      18        0.20          0k       400.0         0.0         0.0
      19        0.33          0k         0.0         0.0         0.0
      20        0.33          0k        80.0         0.0         0.0
      21        0.32          0k        40.0         0.1         0.0
      22        0.19          0k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.25          0k         0.0         0.0         0.0
      25        0.33          4k       680.0         0.3         0.2
      26        0.31          2k       120.0         0.0         0.1
      27        0.20          0k        80.0         0.0         0.0
      28        0.20          1k         0.0         0.0         0.0
      29        0.21          0k        40.0         0.0         0.0
      30        0.08          1k       280.0         0.0         0.0
      31        0.20          0k         0.0         0.0         0.0
      32        0.29          0k         0.0         0.0         0.0
      33        0.26          0k      2760.0         0.0         0.0
      34        0.01         13k         0.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.27          0k         0.0         0.0         0.0
      37        0.10          1k       200.0         0.0         0.0
      38        0.24          0k       240.0         0.0         0.0
      39        0.18          0k       160.0         0.0         0.0
TIME 2024-02-05 16:30:02
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         47k       360.0         3.4         0.0
       1        1.04         35k       520.0         0.0         0.0
       2        1.00         11k        80.0         0.1         0.0
       3        1.03        136k       240.0        83.9         0.0
       4        3.14      19946k      1840.0        37.8         0.1
       5        0.27          3k        80.0         0.1         0.0
       6        0.16          0k        80.0         0.0         0.0
       7        0.14          0k        80.0         0.0         0.0
       8        0.16          0k         0.0         0.0         0.0
       9        0.17          0k       120.0         0.0         0.0
      10        1.48          4k      2000.0         0.2         0.2
      11        0.18          0k         0.0         0.0         0.0
      12        0.12          0k         0.0         0.0         0.0
      13        0.08          0k       160.0         0.0         0.0
      14        0.22         16k        40.0         0.0         0.0
      15        0.12          0k       120.0         0.0         0.0
      16        0.11          0k        80.0         0.0         0.0
      17        0.31          1k       360.0         0.0         0.0
      18        0.12          0k       400.0         0.0         0.0
      19        0.38          0k         0.0         0.0         0.0
      20        0.35          0k        80.0         0.0         0.0
      21        0.34          0k        40.0         0.0         0.0
      22        0.22          1k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.28          0k         0.0         0.0         0.0
      25        0.35          4k       600.0         0.2         0.1
      26        0.17          0k        80.0         0.0         0.0
      27        0.30          1k        80.0         0.0         0.0
      28        0.20          0k         0.0         0.0         0.0
      29        0.19          0k        40.0         0.0         0.0
      30        0.16          1k       280.0         0.0         0.0
      31        0.19          0k         0.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.31          0k      2720.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.28          0k         0.0         0.0         0.0
      36        0.35          0k         0.0         0.0         0.0
      37        0.07          1k       200.0         0.0         0.0
      38        0.25          0k       240.0         0.0         0.0
      39        0.11          0k       160.0         0.0         0.0
TIME 2024-02-05 16:30:03
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02         45k       400.0         3.8         0.0
       1        1.04         35k       560.0         0.2         0.0
       2        1.00         12k       280.0         0.1         0.0
       3        1.03        138k       280.0        84.5         0.0
       4        3.23      18638k      2040.0       126.7         0.0
       5        0.22          2k       120.0         0.0         0.0
       6        0.10          0k        80.0         0.0         0.0
       7        0.11          0k        80.0         0.0         0.0
       8        0.17          0k         0.0         0.1         0.0
       9        0.17          0k       120.0         0.0         0.0
      10        1.46          4k      1920.0         0.0         0.2
      11        0.12          0k        40.0         0.0         0.0
      12        0.11          0k         0.0         0.0         0.0
      13        0.09          0k        80.0         0.0         0.0
      14        0.24         16k       160.0         0.0         0.1
      15        1.15          6k       840.0         0.9         0.0
      16        0.11          0k        80.0         0.0         0.0
      17        0.31          0k       280.0         0.0         0.0
      18        0.09          0k       320.0         0.1         0.0
      19        0.99          4k        40.0         0.1         0.0
      20        0.35          0k        80.0         0.0         0.0
      21        0.32          0k        40.0         0.0         0.0
      22        0.19          1k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.20          1k         0.0         0.2         0.0
      25        0.63          9k       880.0         0.6         0.9
      26        0.34          1k       120.0         0.0         0.0
      27        0.28          1k        80.0         0.0         0.0
      28        0.18          0k         0.0         0.0         0.0
      29        0.20          0k        40.0         0.0         0.0
      30        0.21          1k       240.0         0.0         0.0
      31        1.08          4k       120.0         0.2         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        0.30          0k      2200.0         0.0         0.0
      34        0.00         12k         0.0         0.0         0.0
      35        0.19          0k         0.0         0.0         0.0
      36        0.33          0k         0.0         0.0         0.0
      37        0.06          1k       160.0         0.0         0.0
      38        1.21          6k       360.0         0.2         0.0
      39        0.21          0k       120.0         0.0         0.0
TIME 2024-02-05 16:30:04
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03         46k       360.0         3.0         0.1
       1        1.05         36k       560.0         0.1         0.1
       2        1.00         12k       320.0         0.1         0.0
       3        1.03        131k       200.0        80.7         0.0
       4        3.03      17634k      2280.0         1.3         0.0
       5        0.23          2k       120.0         0.1         0.0
       6        0.17          0k        80.0         0.0         0.0
       7        0.13          0k        80.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.14          0k       120.0         0.0         0.0
      10        1.49          4k      1680.0         0.0         0.2
      11        0.18          0k        40.0         0.0         0.0
      12        0.12          0k         0.0         0.0         0.0
      13        0.07          0k        80.0         0.0         0.0
      14        0.22         16k       120.0         0.0         0.0
      15        0.29          0k       720.0         0.1         0.0
      16        0.13          0k        80.0         0.0         0.0
      17        0.31          0k       240.0         0.0         0.0
      18        0.11          0k       320.0         0.0         0.0
      19        0.40          1k        40.0         0.0         0.0
      20        0.33          0k        80.0         0.0         0.0
      21        0.25          2k        40.0         0.0         0.1
      22        0.21          1k         0.0         0.1         0.0
      23        0.37          0k         0.0         0.0         0.0
      24        0.23          0k         0.0         0.0         0.0
      25        0.37          4k       840.0         0.0         0.0
      26        0.22          0k       120.0         0.0         0.0
      27        0.28          1k        80.0         0.0         0.0
      28        0.25          0k         0.0         0.0         0.0
      29        0.24          1k        40.0         0.0         0.0
      30        0.04          0k       200.0         0.0         0.0
      31        0.19          0k       120.0         0.0         0.0
      32        0.32          0k         0.0         0.0         0.0
      33        1.11          3k      3000.0         1.0         0.1
      34        0.00         12k         0.0         0.0         0.0
      35        0.22          0k         0.0         0.0         0.0
      36        0.32          0k         0.0         0.0         0.0
      37        0.06          1k       160.0         0.0         0.0
      38        0.25          0k       360.0         0.0         0.0
      39        0.15          0k       120.0         0.0         0.0
TIME 2024-02-05 16:30:05
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.03          7k       280.0         0.5         0.0
       1        1.05          7k       520.0         0.1         0.1
       2        1.00          2k       240.0         0.0         0.0
       3        1.03         16k       240.0         9.8         0.0
       4        2.90       1948k      2320.0         1.0         0.4
       5        0.23          2k       120.0         0.0         0.0
       6        0.13          0k        80.0         0.0         0.0
       7        0.13          0k        80.0         0.0         0.0
       8        0.15          0k         0.0         0.1         0.0
       9        0.13          0k       120.0         0.0         0.0
      10        1.35         56k      5080.0         5.0         0.5
      11        0.06          0k         0.0         0.0         0.0
      12        0.06          0k         0.0         0.0         0.0
      13        0.05          1k         0.0         0.0         0.0
      14        0.26          2k        40.0         0.0         0.0
      15        0.18          0k       440.0         0.2         0.0
      16        0.13          0k        40.0         0.0         0.0
      17        0.27          0k        80.0         0.0         0.0
      18        0.15          0k       240.0         0.0         0.0
      19        0.29          0k        40.0         0.0         0.0
      20        0.18          0k        80.0         0.0         0.0
      21        0.59          3k       160.0         0.0         0.3
      22        0.28          2k         0.0         0.0         0.0
      23        0.16          0k         0.0         0.0         0.0
      24        0.41         11k       400.0         0.2         0.8
      25        0.38          5k       680.0         0.1         0.0
      26        0.27          1k        80.0         0.0         0.0
      27        0.33          1k        80.0         0.0         0.0
      28        0.18          0k         0.0         0.0         0.0
      29        0.27          1k        40.0         0.0         0.0
      30        0.04          0k       120.0         0.0         0.0
